Type:          average
Points:        1350
Count:         16
XInc:          7.407407E-012
XOrg:          1.04125000000E-007
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        1.00000E-008
XOffset:       1.04125000000E-007
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:50:01:82
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
1.06591667E-007, 4.0049E+000
1.06599074E-007, 3.6932E+000
1.06606481E-007, 3.4297E+000
1.06613889E-007, 3.1357E+000
1.06621296E-007, 2.8038E+000
1.06628704E-007, 2.5276E+000
1.06636111E-007, 2.3198E+000
1.06643519E-007, 2.0613E+000
1.06650926E-007, 1.7724E+000
1.06658333E-007, 1.5444E+000
1.06665741E-007, 1.2986E+000
1.06673148E-007, 1.0350E+000
1.06680556E-007, 8.171E-001
1.06687963E-007, 5.460E-001
1.06695370E-007, 3.382E-001
1.06702778E-007, 7.97E-002
1.06710185E-007, -9.26E-002
1.06717593E-007, -2.320E-001
1.06725000E-007, -3.764E-001
1.06732407E-007, -4.980E-001
1.06739815E-007, -6.298E-001
1.06747222E-007, -7.540E-001
1.06754630E-007, -8.503E-001
1.06762037E-007, -8.857E-001
1.06769444E-007, -9.820E-001
1.06776852E-007, -1.0479E+000
1.06784259E-007, -1.0935E+000
1.06791667E-007, -1.2025E+000
1.06799074E-007, -1.2506E+000
1.06806481E-007, -1.3925E+000
1.06813889E-007, -1.4838E+000
1.06821296E-007, -1.4939E+000
1.06828704E-007, -1.6307E+000
1.06836111E-007, -1.7549E+000
1.06843519E-007, -1.7574E+000
1.06850926E-007, -1.8208E+000
1.06858333E-007, -1.8715E+000
1.06865741E-007, -1.9399E+000
1.06873148E-007, -2.0007E+000
1.06880556E-007, -2.0134E+000
1.06887963E-007, -2.0387E+000
1.06895370E-007, -2.0362E+000
1.06902778E-007, -2.0336E+000
1.06910185E-007, -1.9906E+000
1.06917593E-007, -1.9297E+000
1.06925000E-007, -1.8791E+000
1.06932407E-007, -1.8284E+000
1.06939815E-007, -1.7802E+000
1.06947222E-007, -1.6915E+000
1.06954630E-007, -1.6510E+000
1.06962037E-007, -1.6206E+000
1.06969444E-007, -1.6231E+000
1.06976852E-007, -1.6054E+000
1.06984259E-007, -1.6561E+000
1.06991667E-007, -1.6561E+000
1.06999074E-007, -1.6409E+000
1.07006481E-007, -1.7118E+000
1.07013889E-007, -1.6839E+000
1.07021296E-007, -1.6713E+000
1.07028704E-007, -1.6915E+000
1.07036111E-007, -1.7245E+000
1.07043519E-007, -1.7017E+000
1.07050926E-007, -1.7372E+000
1.07058333E-007, -1.7296E+000
1.07065741E-007, -1.7600E+000
1.07073148E-007, -1.7473E+000
1.07080556E-007, -1.7448E+000
1.07087963E-007, -1.7296E+000
1.07095370E-007, -1.7245E+000
1.07102778E-007, -1.7372E+000
1.07110185E-007, -1.6966E+000
1.07117593E-007, -1.6434E+000
1.07125000E-007, -1.6839E+000
1.07132407E-007, -1.7220E+000
1.07139815E-007, -1.7498E+000
1.07147222E-007, -1.7194E+000
1.07154630E-007, -1.7093E+000
1.07162037E-007, -1.7245E+000
1.07169444E-007, -1.8056E+000
1.07176852E-007, -1.7397E+000
1.07184259E-007, -1.7448E+000
1.07191667E-007, -1.7372E+000
1.07199074E-007, -1.7422E+000
1.07206481E-007, -1.7017E+000
1.07213889E-007, -1.6789E+000
1.07221296E-007, -1.6358E+000
1.07228704E-007, -1.6003E+000
1.07236111E-007, -1.5750E+000
1.07243519E-007, -1.5699E+000
1.07250926E-007, -1.5294E+000
1.07258333E-007, -1.4939E+000
1.07265741E-007, -1.4990E+000
1.07273148E-007, -1.4407E+000
1.07280556E-007, -1.4204E+000
1.07287963E-007, -1.4077E+000
1.07295370E-007, -1.4508E+000
1.07302778E-007, -1.4305E+000
1.07310185E-007, -1.4508E+000
1.07317593E-007, -1.4812E+000
1.07325000E-007, -1.4964E+000
1.07332407E-007, -1.5420E+000
1.07339815E-007, -1.5344E+000
1.07347222E-007, -1.5471E+000
1.07354630E-007, -1.5826E+000
1.07362037E-007, -1.5572E+000
1.07369444E-007, -1.5953E+000
1.07376852E-007, -1.6358E+000
1.07384259E-007, -1.6206E+000
1.07391667E-007, -1.6586E+000
1.07399074E-007, -1.6941E+000
1.07406481E-007, -1.6586E+000
1.07413889E-007, -1.6814E+000
1.07421296E-007, -1.6789E+000
1.07428704E-007, -1.6991E+000
1.07436111E-007, -1.7270E+000
1.07443519E-007, -1.7118E+000
1.07450926E-007, -1.6915E+000
1.07458333E-007, -1.6738E+000
1.07465741E-007, -1.7017E+000
1.07473148E-007, -1.7042E+000
1.07480556E-007, -1.6915E+000
1.07487963E-007, -1.7017E+000
1.07495370E-007, -1.7372E+000
1.07502778E-007, -1.7067E+000
1.07510185E-007, -1.7650E+000
1.07517593E-007, -1.7194E+000
1.07525000E-007, -1.7296E+000
1.07532407E-007, -1.6915E+000
1.07539815E-007, -1.7118E+000
1.07547222E-007, -1.7093E+000
1.07554630E-007, -1.7346E+000
1.07562037E-007, -1.7017E+000
1.07569444E-007, -1.7372E+000
1.07576852E-007, -1.7422E+000
1.07584259E-007, -1.7245E+000
1.07591667E-007, -1.7372E+000
1.07599074E-007, -1.7169E+000
1.07606481E-007, -1.7676E+000
1.07613889E-007, -1.7726E+000
1.07621296E-007, -1.7397E+000
1.07628704E-007, -1.7904E+000
1.07636111E-007, -1.7574E+000
1.07643519E-007, -1.7802E+000
1.07650926E-007, -1.7650E+000
1.07658333E-007, -1.7245E+000
1.07665741E-007, -1.7422E+000
1.07673148E-007, -1.7448E+000
1.07680556E-007, -1.8106E+000
1.07687963E-007, -1.8081E+000
1.07695370E-007, -1.7802E+000
1.07702778E-007, -1.7954E+000
1.07710185E-007, -1.7650E+000
1.07717593E-007, -1.8233E+000
1.07725000E-007, -1.7929E+000
1.07732407E-007, -1.7980E+000
1.07739815E-007, -1.8081E+000
1.07747222E-007, -1.8005E+000
1.07754630E-007, -1.8360E+000
1.07762037E-007, -1.8081E+000
1.07769444E-007, -1.8081E+000
1.07776852E-007, -1.8512E+000
1.07784259E-007, -1.8537E+000
1.07791667E-007, -1.8461E+000
1.07799074E-007, -1.8411E+000
1.07806481E-007, -1.8765E+000
1.07813889E-007, -1.8664E+000
1.07821296E-007, -1.8334E+000
1.07828704E-007, -1.8765E+000
1.07836111E-007, -1.8689E+000
1.07843519E-007, -1.8639E+000
1.07850926E-007, -1.8943E+000
1.07858333E-007, -1.8664E+000
1.07865741E-007, -1.8892E+000
1.07873148E-007, -1.8613E+000
1.07880556E-007, -1.8360E+000
1.07887963E-007, -1.8791E+000
1.07895370E-007, -1.9297E+000
1.07902778E-007, -1.8740E+000
1.07910185E-007, -1.8765E+000
1.07917593E-007, -1.9044E+000
1.07925000E-007, -1.8943E+000
1.07932407E-007, -1.9069E+000
1.07939815E-007, -1.9069E+000
1.07947222E-007, -1.9120E+000
1.07954630E-007, -1.9525E+000
1.07962037E-007, -1.9348E+000
1.07969444E-007, -1.9171E+000
1.07976852E-007, -1.9069E+000
1.07984259E-007, -1.9323E+000
1.07991667E-007, -1.9728E+000
1.07999074E-007, -1.9652E+000
1.08006481E-007, -1.9576E+000
1.08013889E-007, -1.9652E+000
1.08021296E-007, -1.9627E+000
1.08028704E-007, -1.9475E+000
1.08036111E-007, -1.9703E+000
1.08043519E-007, -1.9754E+000
1.08050926E-007, -1.9804E+000
1.08058333E-007, -2.0083E+000
1.08065741E-007, -1.9728E+000
1.08073148E-007, -1.9728E+000
1.08080556E-007, -1.9475E+000
1.08087963E-007, -1.9880E+000
1.08095370E-007, -1.9576E+000
1.08102778E-007, -2.0184E+000
1.08110185E-007, -1.9728E+000
1.08117593E-007, -2.0007E+000
1.08125000E-007, -1.9551E+000
1.08132407E-007, -2.0083E+000
1.08139815E-007, -1.9779E+000
1.08147222E-007, -2.0387E+000
1.08154630E-007, -1.9982E+000
1.08162037E-007, -2.0058E+000
1.08169444E-007, -2.0007E+000
1.08176852E-007, -2.0615E+000
1.08184259E-007, -2.0286E+000
1.08191667E-007, -1.9931E+000
1.08199074E-007, -2.0438E+000
1.08206481E-007, -2.0210E+000
1.08213889E-007, -2.0235E+000
1.08221296E-007, -2.0514E+000
