Type:          raw
Points:        1350
Count:         1
XInc:          1.4814815E-011
XOrg:          4.5980000000E-008
YData range:   8.07981E+001
YData center:  1.39000E+001
Coupling:      50 Ohms
XRange:        2.00000E-008
XOffset:       4.5980000000E-008
YRange:        8.00000E+001
YOffset:       1.39000E+001
Date:          14 JUN 2023
Time:          11:33:47:68
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
4.9446667E-008, -4.3E-002
4.9461481E-008, -4.3E-002
4.9476296E-008, 2.9E-002
4.9491111E-008, -4.3E-002
4.9505926E-008, -1.11E-001
4.9520741E-008, 2.9E-002
4.9535556E-008, -4.3E-002
4.9550370E-008, 2.38E-001
4.9565185E-008, 9.8E-002
4.9580000E-008, 2.38E-001
4.9594815E-008, 9.8E-002
4.9609630E-008, 1.69E-001
4.9624444E-008, 9.8E-002
4.9639259E-008, -4.3E-002
4.9654074E-008, 2.9E-002
4.9668889E-008, 1.69E-001
4.9683704E-008, 9.8E-002
4.9698519E-008, 9.8E-002
4.9713333E-008, 3.09E-001
4.9728148E-008, 2.38E-001
4.9742963E-008, 2.38E-001
4.9757778E-008, 2.38E-001
4.9772593E-008, 3.09E-001
4.9787407E-008, 2.38E-001
4.9802222E-008, 2.38E-001
4.9817037E-008, 1.69E-001
4.9831852E-008, 2.38E-001
4.9846667E-008, 3.09E-001
4.9861481E-008, 2.38E-001
4.9876296E-008, 4.49E-001
4.9891111E-008, 2.38E-001
4.9905926E-008, 3.78E-001
4.9920741E-008, 3.09E-001
4.9935556E-008, 3.09E-001
4.9950370E-008, 4.49E-001
4.9965185E-008, 4.49E-001
4.9980000E-008, 3.09E-001
4.9994815E-008, 5.18E-001
5.0009630E-008, 3.78E-001
5.0024444E-008, 4.49E-001
5.0039259E-008, 3.78E-001
5.0054074E-008, 2.38E-001
5.0068889E-008, 4.49E-001
5.0083704E-008, 4.49E-001
5.0098519E-008, 5.86E-001
5.0113333E-008, 5.18E-001
5.0128148E-008, 5.18E-001
5.0142963E-008, 5.86E-001
5.0157778E-008, 4.49E-001
5.0172593E-008, 4.49E-001
5.0187407E-008, 4.49E-001
5.0202222E-008, 5.18E-001
5.0217037E-008, 5.18E-001
5.0231852E-008, 4.49E-001
5.0246667E-008, 5.18E-001
5.0261481E-008, 5.86E-001
5.0276296E-008, 5.18E-001
5.0291111E-008, 3.78E-001
5.0305926E-008, 5.18E-001
5.0320741E-008, 6.58E-001
5.0335556E-008, 4.49E-001
5.0350370E-008, 3.09E-001
5.0365185E-008, 5.86E-001
5.0380000E-008, 4.49E-001
5.0394815E-008, 3.78E-001
5.0409630E-008, 3.78E-001
5.0424444E-008, 5.86E-001
