Type:          average
Points:        1350
Count:         16
XInc:          3.7037037E-011
XOrg:          2.4050000000E-008
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        5.00000E-008
XOffset:       2.4050000000E-008
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:37:56:15
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
3.3568519E-008, 4.43E-002
3.3605556E-008, 4.93E-002
3.3642593E-008, 6.20E-002
3.3679630E-008, 5.19E-002
3.3716667E-008, 5.44E-002
3.3753704E-008, 6.20E-002
3.3790741E-008, 5.69E-002
3.3827778E-008, 6.45E-002
3.3864815E-008, 1.025E-001
3.3901852E-008, 8.8E-003
3.3938889E-008, 5.44E-002
3.3975926E-008, 4.93E-002
3.4012963E-008, 2.14E-002
3.4050000E-008, 9.49E-002
3.4087037E-008, 5.44E-002
3.4124074E-008, 8.99E-002
3.4161111E-008, 9.75E-002
3.4198148E-008, 9.24E-002
3.4235185E-008, 7.97E-002
3.4272222E-008, 5.95E-002
3.4309259E-008, 5.95E-002
3.4346296E-008, 4.17E-002
3.4383333E-008, 8.99E-002
3.4420370E-008, 7.97E-002
3.4457407E-008, 7.47E-002
3.4494444E-008, 6.96E-002
3.4531481E-008, 4.68E-002
3.4568519E-008, 6.96E-002
3.4605556E-008, 7.72E-002
3.4642593E-008, 7.21E-002
3.4679630E-008, 7.47E-002
3.4716667E-008, 7.72E-002
3.4753704E-008, 9.24E-002
3.4790741E-008, 6.20E-002
3.4827778E-008, 6.96E-002
3.4864815E-008, 7.97E-002
3.4901852E-008, 7.21E-002
3.4938889E-008, 7.21E-002
3.4975926E-008, 9.75E-002
3.5012963E-008, 9.24E-002
3.5050000E-008, 3.92E-002
3.5087037E-008, 8.48E-002
3.5124074E-008, 8.73E-002
3.5161111E-008, 1.127E-001
3.5198148E-008, 6.20E-002
3.5235185E-008, 8.73E-002
3.5272222E-008, 6.45E-002
3.5309259E-008, 5.44E-002
3.5346296E-008, 8.48E-002
3.5383333E-008, 6.71E-002
3.5420370E-008, 1.025E-001
3.5457407E-008, 8.48E-002
3.5494444E-008, 6.20E-002
3.5531481E-008, 5.44E-002
3.5568519E-008, 1.076E-001
3.5605556E-008, 9.75E-002
3.5642593E-008, 6.20E-002
3.5679630E-008, 4.43E-002
3.5716667E-008, 9.75E-002
3.5753704E-008, 3.92E-002
3.5790741E-008, 4.93E-002
3.5827778E-008, 6.45E-002
3.5864815E-008, 5.44E-002
3.5901852E-008, 4.43E-002
3.5938889E-008, 7.21E-002
3.5975926E-008, 6.45E-002
3.6012963E-008, 1.89E-002
3.6050000E-008, -6.4E-003
3.6087037E-008, -1.4E-003
3.6124074E-008, -1.66E-002
3.6161111E-008, -4.44E-002
3.6198148E-008, -8.75E-002
3.6235185E-008, -1.559E-001
3.6272222E-008, -1.914E-001
3.6309259E-008, -2.776E-001
3.6346296E-008, -3.764E-001
3.6383333E-008, -4.473E-001
3.6420370E-008, -5.512E-001
3.6457407E-008, -6.931E-001
3.6494444E-008, -7.970E-001
3.6531481E-008, -9.491E-001
3.6568519E-008, -1.0428E+000
3.6605556E-008, -1.1949E+000
3.6642593E-008, -1.3216E+000
3.6679630E-008, -1.4407E+000
3.6716667E-008, -1.5319E+000
3.6753704E-008, -1.6611E+000
3.6790741E-008, -1.6966E+000
3.6827778E-008, -1.8487E+000
3.6864815E-008, -1.9601E+000
3.6901852E-008, -2.1046E+000
3.6938889E-008, -2.2034E+000
3.6975926E-008, -2.2744E+000
3.7012963E-008, -2.4264E+000
3.7050000E-008, -2.5506E+000
3.7087037E-008, -2.6215E+000
3.7124074E-008, -2.7862E+000
3.7161111E-008, -2.9738E+000
3.7198148E-008, -3.0827E+000
3.7235185E-008, -3.2322E+000
3.7272222E-008, -3.3919E+000
3.7309259E-008, -3.5008E+000
3.7346296E-008, -3.7035E+000
3.7383333E-008, -3.8150E+000
3.7420370E-008, -3.9924E+000
3.7457407E-008, -4.1470E+000
